order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD404611,ID0709970472,2019-07-14,Thompson,"[('Alcon 10', 1), ('Thunder line', 1), ('Universe Note', 2), ('iAssist Line', 1)]",20255,78.43000000000029,-37.8145573,144.9344793,5,19320.68,Winter,True,1.1268,five stars good,1.0
ORD404507,ID0587652960,2019-03-27,Nickolson,"[('Toshika 750', 2), ('iAssist Line', 1), ('iStream', 2)]",11165,78.95000000000073,-37.825106299999995,144.9588605,25,8452.7,Autumn,True,1.187,five stars works really well so far- one week. will update in a month.,1.0
ORD299323,ID4754200371,2019-04-22,Thompson,"[('Alcon 10', 2), ('Lucent 330S', 2), ('Thunder line', 1), ('Universe Note', 2)]",29440,67.18999999999869,-37.815083,144.9276048,25,22147.19,Autumn,False,1.7326,excellant it showed up 3 days earlier than expected. the phone's performance is excellent for a device of this price. definate choice for those on a budget looking for a great phone!,1.0
ORD260712,ID0702376185,2019-02-10,Thompson,"[('Alcon 10', 2), ('Olivia x460', 1), ('iAssist Line', 1), ('iStream', 2)]",21650,92.88000000000102,-37.8062369,144.9416974,15,18495.38,Summer,True,0.8582,its a charger it charges my phone and is a very tight fit,1.0
ORD215820,ID0164077720,2019-09-12,Thompson,"[('Lucent 330S', 2), ('Thunder line', 1), ('Universe Note', 2)]",11540,101.80999999999949,-37.8151625,144.95456230000005,5,11064.81,Spring,True,0.7149,five stars son is really enjoying his phone.,1.0
ORD103996,ID4313862241,2019-03-17,Bakers,"[('Toshika 750', 2), ('Universe Note', 1), ('iStream', 2), ('pearTV', 1)]",18700,80.02999999999884,-37.81848770000001,144.99459,0,18780.03,Autumn,True,0.9469,"looks good, almost brand new fast delivery, looks good, almost brand new, works just fine",1.0
ORD410823,ID1492150950,2019-01-14,Thompson,"[('Candle Inferno', 2), ('Lucent 330S', 1), ('iAssist Line', 1)]",4315,88.88000000000011,-37.8141573,144.9519095,5,4188.13,Summer,True,0.4566,happy love it,1.0
ORD064431,ID0591258186,2019-12-25,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('Olivia x460', 2)]",4110,98.13000000000011,-37.824242299999995,144.95383169999997,10,3797.13,Summer,True,1.4185,"five stars love this phone, so easily to use. much better than s3 bigger screen for use.",1.0
ORD091352,ID0575525071,2019-11-01,Nickolson,"[('Olivia x460', 2), ('Thunder line', 1), ('iAssist Line', 2), ('pearTV', 2)]",6820,14962.04,-37.8208086,144.9850873,0,21782.04,Spring,False,1.3882,great smartphone i really liked the a70. it's really fast when loading the apps. the battery is great. i charge only at night. the memory ram is good too and the processor as well. one of the best smartphones from olivia.,1.0
ORD212427,ID0780992474,2019-08-14,Thompson,"[('Alcon 10', 1), ('Thunder line', 1), ('Toshika 750', 1)]",10660,4149.66,-37.8052814,144.95065280000003,15,13210.66,Winter,True,0.8811,it is what it says worried about spending money on a phone on-line - but it is perfect- unqualified perfect. and no one paid me or discounted anything to get me to say this.,1.0
ORD042084,ID4787333387,2019-06-05,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 2)]",24800,-13422.46,-37.815569399999994,144.9667379,25,5177.54,Winter,False,0.4179,great value this phone was exactly as it was billed. one of the best buys out there. great battery life. i would do it all again.,1.0
ORD151668,ID0356477680,2019-09-28,Bakers,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('Toshika 750', 1), ('Universe Note', 1)]",8790,1464.96,-37.8037537,144.9870536,25,8057.46,Spring,False,1.0001,no es lo que sale en la foto este teléfono no es lo que sale en la foto está bueno para devolverlo,0.0
ORD351327,ID1132069624,2019-12-15,Thompson,"[('Alcon 10', 2), ('Olivia x460', 2), ('iAssist Line', 2)]",19550,5040.450000000001,-37.813461600000004,144.944369,5,23612.95,Summer,False,0.2531,"it is ok to be a ""android"" tablet with such a low price. but the display is not good as they described.it hurts my eyes after long use.",0.0
